brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
GARENAS,GARENAS Slim USB Multimedia Wired Keyboard 78 Keys. Arabic Keyboard for Laptop and Computer(Black),0.0,0.0,0.0,0.0,,,"selected, One Size, $17.89One Size$17.89"
Visit the Razer Store,Razer BlackWidow Ultimate - Water and Dust Resistant Backlit Mechanical Gaming Keyboard with Razer Green Switches (Tactile & Clicky),0.0,0.0,4.5,45.0,,,
Apple,Restored Apple iPad Magic Keyboard MJQJ3LL/A - White (Refurbished),0.0,0.0,5.0,11.0,,,
TUF,"ASUS TUF Mechanical PC Gaming Keyboard for PC - TUF K3 | Programmable Onboard Memory | Dedicated Media Controls, Aura Sync RGB Lighting | Detachable Magnetic Wrist Rest | Highly Durable | Black",0.0,0.0,4.3,26.0,,,
Glarry,"Glarry GDP-105 Digital Piano for All Ages, 88 Keys Full Weighted Keyboards, Electric Piano with Furniture Stand, Bluetooth,Triple Pedals, Power Supply, Black",0.0,0.0,5.0,1.0,,,
Microsoft,Microsoft Surface Pro Signature Keyboard (Platinum) with Slim Pen 28X8-00061,272.0,204.99,0.0,0.0,,,
Geeky,"Geeky GK61 60% | Hot Swappable Mechanical Gaming Keyboard | 61 Keys Multi Color RGB LED Backlit for PC / Mac Gamer | ANSI US American Layout ( Black , Mechanical Brown )",0.0,0.0,5.0,6.0,,,"Hotswap Black Switch, $29.99Hotswap Black Switch$29.99', 'Hotswap Blue Switch, $29.99Hotswap Blue Switch$29.99', 'selected, Hotswap Brown Switch, $29.99Hotswap Brown Switch$29.99', 'Hotswap Red Switch, $29.99Hotswap Red Switch$29.99', 'Hotswap Speed Silver Switch, $35.00Hotswap Speed Silver Switch$35.00', 'Hotswap Speed Yellow Switch, $33.99Hotswap Speed Yellow Switch$33.99"
Visit the Logitech Store,"Logitech MK295 Silent Wireless Keyboard & Mouse Combo with 90% less clicking and typing noise, 2.4 GHz, Off-White",40.94,29.99,4.6,80.0,,,
Hamzer,Hamzer 61-Key Electronic Keyboard Portable Digital Music Piano with Lighted Keys,0.0,0.0,4.8,14.0,"https://i5.walmartimages.com/seo/Hamzer-61-Key-Electronic-Keyboard-Portable-Digital-Music-Piano-with-Lighted-Keys-Microphone-and-Sticker-Set_c0bc7ea8-f712-42bf-ad5d-de700788ec1f.3e83f2d248eb7de942fd901396ac91f2.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Hamzer-61-Key-Electronic-Keyboard-Portable-Digital-Music-Piano-with-Lighted-Keys-Microphone-and-Sticker-Set_c0bc7ea8-f712-42bf-ad5d-de700788ec1f.3e83f2d248eb7de942fd901396ac91f2.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Terence,TERENCE Keyboard Piano with 61 Semi-weighted Keys & 1800mAh Battery Support MIDI USB Interface & Piano Application with Bluetooth Sheet Music Stand Sticker Bag Audio Cable Earphones,0.0,0.0,5.0,1.0,,,
SunshineFace,Piano Keyboard 61 Keys Digital Music Electronic Keyboard Electric Piano Musical Instrument Kids Learning Keyboard with Microphone For Beginners Kids Girls Boys,29.99,23.55,4.5,6.0,,,
Gymax,Gymax 61-Key Electronic Keyboard Piano Starter Set w/Stand Bench Headphones,169.99,119.99,4.3,31.0,,,
ammoon,MOTOSPEED CK61  Mechanical Gaming Keyboard OUTMU Blue Switches Keyboard 61 Keys Anti-ghosting with Backlight for Gaming Black,49.99,29.99,4.6,34.0,,,"selected, Blue Switches, $29.99$29.99', 'Kailh Box Switches, $29.99$29.99', 'Red Switches, $29.99$29.99"
